0.41,0.33,0,231.71,50.0851,357.5,0,0,"2016-07-23 11:35:53"
0.41,0.34,0,232.35,50.0125,356.7,0,0,"2016-07-23 11:35:57"
0.41,0.34,0,232.1,50,356.8,231,0,"2016-07-23 11:36:00"
0.41,0.33,0,231.98,49.9375,356.2,0,0,"2016-07-23 11:36:05"
0.43,0.34,0,231.99,49.945,358.6,0,0,"2016-07-23 11:36:09"
0,0.34,0,231.76,49.9076,0,225.9,0,"2016-07-23 11:36:13"
0.42,0.34,0,231.66,49.9825,356.5,0,0,"2016-07-23 11:36:20"
0.43,0.34,0,231.69,49.985,355.4,227.7,0,"2016-07-23 11:36:24"
0.41,0.33,0,231.96,49.9101,358.5,227.5,0,"2016-07-23 11:36:28"
0.42,0.33,0,231.99,49.97,357,0,0,"2016-07-23 11:36:35"
0.42,0,0,231.57,49.935,357.7,0,0,"2016-07-23 11:36:39"
0.42,0.34,0,230.46,49.8032,358.1,0,0,"2016-07-23 11:36:43"
0.42,0.34,0,231.7,49.9525,357.1,227.4,0,"2016-07-23 11:36:47"
0.43,0.33,0,231.82,49.955,357.9,0,0,"2016-07-23 11:36:51"
0.46,0.34,0,231.83,49.9625,353.7,243.8,0,"2016-07-23 11:36:55"
0,0.33,0,231.84,49.8728,0,0,0,"2016-07-23 11:37:00"
0.41,0.34,0,231.48,49.98,358.1,0,0,"2016-07-23 11:37:04"
0.41,0.36,0,231.62,49.9051,356.1,231,0,"2016-07-23 11:37:08"
0.44,0.35,0,231.78,49.94,349.7,0,0,"2016-07-23 11:37:12"
0.41,0.33,0,232.05,49.9126,355.2,0,0,"2016-07-23 11:37:16"
0.41,0.34,0,232.06,50.0375,357.7,227.1,0,"2016-07-23 11:37:20"
0.43,0.34,0,232.17,49.9725,354.7,229.2,0,"2016-07-23 11:37:24"
0.42,0.33,0,231.75,49.9325,357.8,232.8,0,"2016-07-23 11:37:28"
0.42,0.34,0,232.21,49.96,357.3,0,0,"2016-07-23 11:37:32"
0.41,0.34,0,232.21,49.8305,356.7,231.9,0,"2016-07-23 11:37:36"
0.42,0.34,0,232.3,49.8305,358.6,0,0,"2016-07-23 11:37:40"
0.41,0,0,232.55,49.9975,356.9,0,0,"2016-07-23 11:37:44"
0.42,0.32,0,232.37,49.99,356.7,227.8,0,"2016-07-23 11:37:48"
0.42,0.32,0,232.23,50.1253,355.2,227.8,0,"2016-07-23 11:37:52"
0.41,0.34,0,232.07,50,356.9,0,0,"2016-07-23 11:37:56"
0.42,0.32,0,231.96,50.0175,357.8,226.7,0,"2016-07-23 11:38:00"
0.41,0.33,0,231.89,50,357.6,228.4,0,"2016-07-23 11:38:04"
0.47,0.35,0,231.73,50.0225,356.9,231.2,0,"2016-07-23 11:38:09"
0.42,0.34,0,231.8,49.9675,357.9,228.1,0,"2016-07-23 11:38:13"
0.42,0,0,231.97,49.9975,357.4,0,0,"2016-07-23 11:38:17"
